Porc;Age;Segment;Passage ;Segment_Age;Total;Spherical;NonSpherical
19;D21;Colon;P0;Colon_D21;5.119;2.657;2.462
20;D21;Colon;P0;Colon_D21;8.167;3.986;4.181
21;D35;Colon;P0;Colon_D35;7.229;3.126;4.103
22;D35;Colon;P0;Colon_D35;9.222;3.4;5.823
23;D35;Colon;P0;Colon_D35;11.763;5.51;6.253
24;D35;Colon;P0;Colon_D35;5.393;2.423;2.97
25;D21;Colon;P0;Colon_D21;11.684;4.103;7.581
26;D21;Colon;P0;Colon_D21;15.67;5.627;10.043
27;D21;Colon;P0;Colon_D21;7.62;2.345;5.276
28;D21;Colon;P0;Colon_D21;10.864;3.791;7.073
5;D35;Colon;P1;Colon_D35;8.206;5.51;2.696
9;D21;Colon;P1;Colon_D21;92.928;74.6;18.328
10;D21;Colon;P1;Colon_D21;65.534;46.386;19.148
11;D21;Colon;P1;Colon_D21;82.846;59.555;23.291
12;D21;Colon;P1;Colon_D21;40.602;28.566;12.036
17;D21;Colon;P1;Colon_D21;67.644;52.716;14.928
18;D21;Colon;P1;Colon_D21;11.528;5.197;6.331
19;D21;Colon;P1;Colon_D21;21.767;10.707;11.059
20;D21;Colon;P1;Colon_D21;61.353;44.393;16.96
21;D35;Colon;P1;Colon_D35;31.692;21.806;9.887
22;D35;Colon;P1;Colon_D35;35.678;16.178;19.5
23;D35;Colon;P1;Colon_D35;37.671;17.624;20.047
24;D35;Colon;P1;Colon_D35;38.531;19.813;18.718
25;D21;Colon;P1;Colon_D21;76.281;55.061;21.219
26;D21;Colon;P1;Colon_D21;72.529;48.222;24.307
27;D21;Colon;P1;Colon_D21;50.997;31.497;19.5
28;D21;Colon;P1;Colon_D21;66.589;42.165;24.424
5;D35;Colon;P2;Colon_D35;61.196;48.965;12.231
9;D21;Colon;P2;Colon_D21;40.485;25.87;14.615
10;D21;Colon;P2;Colon_D21;24.697;16.178;8.519
11;D21;Colon;P2;Colon_D21;51.271;32.005;19.266
12;D21;Colon;P2;Colon_D21;20.868;14.85;6.018
17;D21;Colon;P2;Colon_D21;44.784;29.035;15.748
18;D21;Colon;P2;Colon_D21;47.402;36.304;11.098
19;D21;Colon;P2;Colon_D21;44.002;31.302;12.7
20;D21;Colon;P2;Colon_D21;55.608;41.306;14.303
21;D35;Colon;P2;Colon_D35;15.514;6.096;9.418
22;D35;Colon;P2;Colon_D35;14.381;7.62;6.761
23;D35;Colon;P2;Colon_D35;9.183;5.51;3.673
24;D35;Colon;P2;Colon_D35;10.629;4.416;6.213
25;D21;Colon;P2;Colon_D21;58.695;37.007;21.688
26;D21;Colon;P2;Colon_D21;48.535;31.223;17.312
27;D21;Colon;P2;Colon_D21;48.848;30.364;18.484
28;D21;Colon;P2;Colon_D21;38.883;23.486;15.397
